timestep,track_id,x,y,speed,state,threat,quality,missed,last_seen
9,101,18.8,-2.4,43.5,CONFIRMED,HIGH,VALID,0,9
9,102,0,8,14.5,CONFIRMED,HIGH,VALID,0,9
9,105,5,11.5,21,COASTING,LOW,VALID,1,8
9,106,-8,13,68,CONFIRMED,HIGH,VALID,0,9
9,107,6.8,-1,30,CONFIRMED,HIGH,VALID,0,9
9,108,-3,-4,40,TENTATIVE,HIGH,VALID,0,9
10,101,19.5,-1.8,43.3,CONFIRMED,HIGH,VALID,0,10
10,102,0.6,8.5,15,CONFIRMED,HIGH,VALID,0,10
10,105,5,11.5,21,COASTING,LOW,VALID,2,8
10,106,-6,12,70,CONFIRMED,HIGH,VALID,0,10
10,107,7.5,-0.5,32,CONFIRMED,HIGH,VALID,0,10
10,108,-2.5,-3.5,42,CONFIRMED,HIGH,VALID,0,10
11,101,20.2,-1.3,43.1,CONFIRMED,MEDIUM,VALID,0,11
11,102,1.2,9,15.5,CONFIRMED,HIGH,VALID,0,11
11,106,-4,11,72,CONFIRMED,HIGH,VALID,0,11
11,107,8.2,0,35,CONFIRMED,HIGH,VALID,0,11
11,108,-2,-3,44,CONFIRMED,HIGH,VALID,0,11
12,101,20.9,-0.7,42.9,CONFIRMED,MEDIUM,VALID,0,12
12,102,1.8,9.5,16,CONFIRMED,HIGH,VALID,0,12
12,106,-2,10,75,CONFIRMED,HIGH,VALID,0,12
12,107,9,0.5,38,CONFIRMED,HIGH,VALID,0,12
12,108,-1.5,-2.5,46,CONFIRMED,HIGH,VALID,0,12
13,101,21.6,-0.2,42.7,CONFIRMED,MEDIUM,VALID,0,13
13,102,2.4,10,16.5,CONFIRMED,HIGH,VALID,0,13
13,106,0,9.5,78,CONFIRMED,HIGH,VALID,0,13
13,107,9.8,1,40,CONFIRMED,HIGH,VALID,0,13
13,108,-1,-2,48,CONFIRMED,HIGH,VALID,0,13
14,101,22.3,0.4,42.5,CONFIRMED,MEDIUM,VALID,0,14
14,102,3,10.5,17,CONFIRMED,HIGH,VALID,0,14
14,106,2,9,80,CONFIRMED,HIGH,VALID,0,14
14,107,10.5,1.5,42,CONFIRMED,HIGH,VALID,0,14
14,108,-0.5,-1.5,50,CONFIRMED,HIGH,VALID,0,14
15,101,23,0.9,42.3,CONFIRMED,MEDIUM,VALID,0,15
15,102,3.6,11,17.5,CONFIRMED,HIGH,VALID,0,15
15,106,4,8.5,82,CONFIRMED,HIGH,VALID,0,15
15,107,11.2,2,45,CONFIRMED,HIGH,VALID,0,15
15,108,0,-1,52,CONFIRMED,HIGH,VALID,0,15
16,101,23,0.9,42.3,COASTING,LOW,VALID,1,15
16,102,4.2,11.5,18,CONFIRMED,HIGH,VALID,0,16
16,106,6,8,85,CONFIRMED,HIGH,VALID,0,16
16,107,12,2.5,48,CONFIRMED,HIGH,VALID,0,16
16,108,0.5,-0.5,54,CONFIRMED,HIGH,VALID,0,16
17,101,23,0.9,42.3,COASTING,LOW,VALID,2,15
17,102,4.8,12,18.5,CONFIRMED,HIGH,VALID,0,17
17,106,8,7.5,88,CONFIRMED,HIGH,VALID,0,17
17,107,12.8,3,50,CONFIRMED,HIGH,VALID,0,17
17,108,1,0,56,CONFIRMED,HIGH,VALID,0,17
18,102,5.4,12.5,19,CONFIRMED,HIGH,VALID,0,18
18,106,10,7,90,CONFIRMED,HIGH,VALID,0,18
18,107,13.5,3.5,52,CONFIRMED,HIGH,VALID,0,18
18,108,1.5,0.5,58,CONFIRMED,HIGH,VALID,0,18
19,102,6,13,19.5,CONFIRMED,HIGH,VALID,0,19
19,106,12,6.5,92,CONFIRMED,HIGH,VALID,0,19
19,107,14.2,4,55,CONFIRMED,HIGH,VALID,0,19
19,108,2,1,60,CONFIRMED,HIGH,VALID,0,19
20,102,6.6,13.5,20,CONFIRMED,HIGH,VALID,0,20
20,106,14,6,95,CONFIRMED,HIGH,VALID,0,20
20,107,15,4.5,58,CONFIRMED,HIGH,VALID,0,20
20,108,2.5,1.5,62,CONFIRMED,HIGH,VALID,0,20
